season,round,url,raceName,date,Circuit.circuitId,Circuit.url,Circuit.circuitName,Circuit.Location.lat,Circuit.Location.long,Circuit.Location.locality,Circuit.Location.country,time,FirstPractice.date,SecondPractice.date,ThirdPractice.date,Qualifying.date,Sprint.date,FirstPractice.time,SecondPractice.time,ThirdPractice.time,Qualifying.time,Sprint.time
1953,9,http://en.wikipedia.org/wiki/1953_Italian_Grand_Prix,Italian Grand Prix,1953-09-13,monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,,,,,,,,,,,
1954,1,http://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix,Argentine Grand Prix,1954-01-17,galvez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez,Autódromo Juan y Oscar Gálvez,-34.6943,-58.4593,Buenos Aires,Argentina,,,,,,,,,,,
1954,2,http://en.wikipedia.org/wiki/1954_Indianapolis_500,Indianapolis 500,1954-05-31,indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA,,,,,,,,,,,
1954,3,http://en.wikipedia.org/wiki/1954_Belgian_Grand_Prix,Belgian Grand Prix,1954-06-20,spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,,,,,,,,,,,
1954,4,http://en.wikipedia.org/wiki/1954_French_Grand_Prix,French Grand Prix,1954-07-04,reims,http://en.wikipedia.org/wiki/Reims-Gueux,Reims-Gueux,49.2542,3.93083,Reims,France,,,,,,,,,,,
1954,5,http://en.wikipedia.org/wiki/1954_British_Grand_Prix,British Grand Prix,1954-07-17,silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,,,,,,,,,,,
1954,6,http://en.wikipedia.org/wiki/1954_German_Grand_Prix,German Grand Prix,1954-08-01,nurburgring,http://en.wikipedia.org/wiki/N%C3%BCrburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,,,,,,,,,,,
1954,7,http://en.wikipedia.org/wiki/1954_Swiss_Grand_Prix,Swiss Grand Prix,1954-08-22,bremgarten,http://en.wikipedia.org/wiki/Circuit_Bremgarten,Circuit Bremgarten,46.9589,7.40194,Bern,Switzerland,,,,,,,,,,,
1954,8,http://en.wikipedia.org/wiki/1954_Italian_Grand_Prix,Italian Grand Prix,1954-09-05,monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,,,,,,,,,,,
1954,9,http://en.wikipedia.org/wiki/1954_Spanish_Grand_Prix,Spanish Grand Prix,1954-10-24,pedralbes,http://en.wikipedia.org/wiki/Pedralbes_Circuit,Circuit de Pedralbes,41.3903,2.11667,Barcelona,Spain,,,,,,,,,,,
1955,1,http://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix,Argentine Grand Prix,1955-01-16,galvez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez,Autódromo Juan y Oscar Gálvez,-34.6943,-58.4593,Buenos Aires,Argentina,,,,,,,,,,,
1955,2,http://en.wikipedia.org/wiki/1955_Monaco_Grand_Prix,Monaco Grand Prix,1955-05-22,monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,,,,,,,,,,,
1955,3,http://en.wikipedia.org/wiki/1955_Indianapolis_500,Indianapolis 500,1955-05-30,indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA,,,,,,,,,,,
1955,4,http://en.wikipedia.org/wiki/1955_Belgian_Grand_Prix,Belgian Grand Prix,1955-06-05,spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,,,,,,,,,,,
1955,5,http://en.wikipedia.org/wiki/1955_Dutch_Grand_Prix,Dutch Grand Prix,1955-06-19,zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,,,,,,,,,,,
1955,6,http://en.wikipedia.org/wiki/1955_British_Grand_Prix,British Grand Prix,1955-07-16,aintree,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,Aintree,53.4769,-2.94056,Liverpool,UK,,,,,,,,,,,
1955,7,http://en.wikipedia.org/wiki/1955_Italian_Grand_Prix,Italian Grand Prix,1955-09-11,monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,,,,,,,,,,,
1956,1,http://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix,Argentine Grand Prix,1956-01-22,galvez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez,Autódromo Juan y Oscar Gálvez,-34.6943,-58.4593,Buenos Aires,Argentina,,,,,,,,,,,
1956,2,http://en.wikipedia.org/wiki/1956_Monaco_Grand_Prix,Monaco Grand Prix,1956-05-13,monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,,,,,,,,,,,
1956,3,http://en.wikipedia.org/wiki/1956_Indianapolis_500,Indianapolis 500,1956-05-30,indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA,,,,,,,,,,,
1956,4,http://en.wikipedia.org/wiki/1956_Belgian_Grand_Prix,Belgian Grand Prix,1956-06-03,spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,,,,,,,,,,,
1956,5,http://en.wikipedia.org/wiki/1956_French_Grand_Prix,French Grand Prix,1956-07-01,reims,http://en.wikipedia.org/wiki/Reims-Gueux,Reims-Gueux,49.2542,3.93083,Reims,France,,,,,,,,,,,
1956,6,http://en.wikipedia.org/wiki/1956_British_Grand_Prix,British Grand Prix,1956-07-14,silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,,,,,,,,,,,
1956,7,http://en.wikipedia.org/wiki/1956_German_Grand_Prix,German Grand Prix,1956-08-05,nurburgring,http://en.wikipedia.org/wiki/N%C3%BCrburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,,,,,,,,,,,
1956,8,http://en.wikipedia.org/wiki/1956_Italian_Grand_Prix,Italian Grand Prix,1956-09-02,monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,,,,,,,,,,,
1957,1,http://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix,Argentine Grand Prix,1957-01-13,galvez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez,Autódromo Juan y Oscar Gálvez,-34.6943,-58.4593,Buenos Aires,Argentina,,,,,,,,,,,
1957,2,http://en.wikipedia.org/wiki/1957_Monaco_Grand_Prix,Monaco Grand Prix,1957-05-19,monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,,,,,,,,,,,
1957,3,http://en.wikipedia.org/wiki/1957_Indianapolis_500,Indianapolis 500,1957-05-30,indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA,,,,,,,,,,,
1957,4,http://en.wikipedia.org/wiki/1957_French_Grand_Prix,French Grand Prix,1957-07-07,essarts,http://en.wikipedia.org/wiki/Rouen-Les-Essarts,Rouen-Les-Essarts,49.3306,1.00458,Rouen,France,,,,,,,,,,,
1957,5,http://en.wikipedia.org/wiki/1957_British_Grand_Prix,British Grand Prix,1957-07-20,aintree,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,Aintree,53.4769,-2.94056,Liverpool,UK,,,,,,,,,,,
1957,6,http://en.wikipedia.org/wiki/1957_German_Grand_Prix,German Grand Prix,1957-08-04,nurburgring,http://en.wikipedia.org/wiki/N%C3%BCrburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,,,,,,,,,,,
1957,7,http://en.wikipedia.org/wiki/1957_Pescara_Grand_Prix,Pescara Grand Prix,1957-08-18,pescara,http://en.wikipedia.org/wiki/Pescara_Circuit,Pescara Circuit,42.475,14.1508,Pescara,Italy,,,,,,,,,,,
1957,8,http://en.wikipedia.org/wiki/1957_Italian_Grand_Prix,Italian Grand Prix,1957-09-08,monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,,,,,,,,,,,
1958,1,http://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix,Argentine Grand Prix,1958-01-19,galvez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez,Autódromo Juan y Oscar Gálvez,-34.6943,-58.4593,Buenos Aires,Argentina,,,,,,,,,,,
1958,2,http://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix,Monaco Grand Prix,1958-05-18,monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,,,,,,,,,,,
1958,3,http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix,Dutch Grand Prix,1958-05-26,zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,,,,,,,,,,,
1958,4,http://en.wikipedia.org/wiki/1958_Indianapolis_500,Indianapolis 500,1958-05-30,indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA,,,,,,,,,,,
1958,5,http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix,Belgian Grand Prix,1958-06-15,spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,,,,,,,,,,,
1958,6,http://en.wikipedia.org/wiki/1958_French_Grand_Prix,French Grand Prix,1958-07-06,reims,http://en.wikipedia.org/wiki/Reims-Gueux,Reims-Gueux,49.2542,3.93083,Reims,France,,,,,,,,,,,
1958,7,http://en.wikipedia.org/wiki/1958_British_Grand_Prix,British Grand Prix,1958-07-19,silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,,,,,,,,,,,
1958,8,http://en.wikipedia.org/wiki/1958_German_Grand_Prix,German Grand Prix,1958-08-03,nurburgring,http://en.wikipedia.org/wiki/N%C3%BCrburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,,,,,,,,,,,
1958,9,http://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix,Portuguese Grand Prix,1958-08-24,boavista,http://en.wikipedia.org/wiki/Circuito_da_Boavista,Circuito da Boavista,41.1705,-8.67325,Oporto,Portugal,,,,,,,,,,,
1958,10,http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix,Italian Grand Prix,1958-09-07,monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,,,,,,,,,,,
1958,11,http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix,Moroccan Grand Prix,1958-10-19,ain-diab,http://en.wikipedia.org/wiki/Ain-Diab_Circuit,Ain Diab,33.5786,-7.6875,Casablanca,Morocco,,,,,,,,,,,
1959,1,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix,Monaco Grand Prix,1959-05-10,monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,,,,,,,,,,,
1959,2,http://en.wikipedia.org/wiki/1959_Indianapolis_500,Indianapolis 500,1959-05-30,indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA,,,,,,,,,,,
1959,3,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix,Dutch Grand Prix,1959-05-31,zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,,,,,,,,,,,
1959,4,http://en.wikipedia.org/wiki/1959_French_Grand_Prix,French Grand Prix,1959-07-05,reims,http://en.wikipedia.org/wiki/Reims-Gueux,Reims-Gueux,49.2542,3.93083,Reims,France,,,,,,,,,,,
1959,5,http://en.wikipedia.org/wiki/1959_British_Grand_Prix,British Grand Prix,1959-07-18,aintree,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,Aintree,53.4769,-2.94056,Liverpool,UK,,,,,,,,,,,
1959,6,http://en.wikipedia.org/wiki/1959_German_Grand_Prix,German Grand Prix,1959-08-02,avus,http://en.wikipedia.org/wiki/AVUS,AVUS,52.4806,13.2514,Berlin,Germany,,,,,,,,,,,
1959,7,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix,Portuguese Grand Prix,1959-08-23,monsanto,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit,Monsanto Park Circuit,38.7197,-9.20306,Lisbon,Portugal,,,,,,,,,,,
1959,8,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix,Italian Grand Prix,1959-09-13,monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,,,,,,,,,,,
1959,9,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix,United States Grand Prix,1959-12-12,sebring,http://en.wikipedia.org/wiki/Sebring_Raceway,Sebring International Raceway,27.4547,-81.3483,Florida,USA,,,,,,,,,,,
1960,1,http://en.wikipedia.org/wiki/1960_Argentine_Grand_Prix,Argentine Grand Prix,1960-02-07,galvez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez,Autódromo Juan y Oscar Gálvez,-34.6943,-58.4593,Buenos Aires,Argentina,,,,,,,,,,,
1960,2,http://en.wikipedia.org/wiki/1960_Monaco_Grand_Prix,Monaco Grand Prix,1960-05-29,monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,,,,,,,,,,,
1960,3,http://en.wikipedia.org/wiki/1960_Indianapolis_500,Indianapolis 500,1960-05-30,indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA,,,,,,,,,,,
1960,4,http://en.wikipedia.org/wiki/1960_Dutch_Grand_Prix,Dutch Grand Prix,1960-06-06,zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,,,,,,,,,,,
1960,5,http://en.wikipedia.org/wiki/1960_Belgian_Grand_Prix,Belgian Grand Prix,1960-06-19,spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,,,,,,,,,,,
1960,6,http://en.wikipedia.org/wiki/1960_French_Grand_Prix,French Grand Prix,1960-07-03,reims,http://en.wikipedia.org/wiki/Reims-Gueux,Reims-Gueux,49.2542,3.93083,Reims,France,,,,,,,,,,,
1960,7,http://en.wikipedia.org/wiki/1960_British_Grand_Prix,British Grand Prix,1960-07-16,silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,,,,,,,,,,,
1960,8,http://en.wikipedia.org/wiki/1960_Portuguese_Grand_Prix,Portuguese Grand Prix,1960-08-14,boavista,http://en.wikipedia.org/wiki/Circuito_da_Boavista,Circuito da Boavista,41.1705,-8.67325,Oporto,Portugal,,,,,,,,,,,
1960,9,http://en.wikipedia.org/wiki/1960_Italian_Grand_Prix,Italian Grand Prix,1960-09-04,monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,,,,,,,,,,,
1960,10,http://en.wikipedia.org/wiki/1960_United_States_Grand_Prix,United States Grand Prix,1960-11-20,riverside,http://en.wikipedia.org/wiki/Riverside_International_Raceway,Riverside International Raceway,33.937,-117.273,California,USA,,,,,,,,,,,
1961,1,http://en.wikipedia.org/wiki/1961_Monaco_Grand_Prix,Monaco Grand Prix,1961-05-14,monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,,,,,,,,,,,
1961,2,http://en.wikipedia.org/wiki/1961_Dutch_Grand_Prix,Dutch Grand Prix,1961-05-22,zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,,,,,,,,,,,
1961,3,http://en.wikipedia.org/wiki/1961_Belgian_Grand_Prix,Belgian Grand Prix,1961-06-18,spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,,,,,,,,,,,
1961,4,http://en.wikipedia.org/wiki/1961_French_Grand_Prix,French Grand Prix,1961-07-02,reims,http://en.wikipedia.org/wiki/Reims-Gueux,Reims-Gueux,49.2542,3.93083,Reims,France,,,,,,,,,,,
1961,5,http://en.wikipedia.org/wiki/1961_British_Grand_Prix,British Grand Prix,1961-07-15,aintree,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,Aintree,53.4769,-2.94056,Liverpool,UK,,,,,,,,,,,
1961,6,http://en.wikipedia.org/wiki/1961_German_Grand_Prix,German Grand Prix,1961-08-06,nurburgring,http://en.wikipedia.org/wiki/N%C3%BCrburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,,,,,,,,,,,
1961,7,http://en.wikipedia.org/wiki/1961_Italian_Grand_Prix,Italian Grand Prix,1961-09-10,monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,,,,,,,,,,,
1961,8,http://en.wikipedia.org/wiki/1961_United_States_Grand_Prix,United States Grand Prix,1961-10-08,watkins_glen,http://en.wikipedia.org/wiki/Watkins_Glen_International,Watkins Glen,42.3369,-76.9272,New York State,USA,,,,,,,,,,,
1962,1,http://en.wikipedia.org/wiki/1962_Dutch_Grand_Prix,Dutch Grand Prix,1962-05-20,zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,,,,,,,,,,,
1962,2,http://en.wikipedia.org/wiki/1962_Monaco_Grand_Prix,Monaco Grand Prix,1962-06-03,monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,,,,,,,,,,,
