constructorId,url,name,nationality
spyker_mf1,http://en.wikipedia.org/wiki/Midland_F1_Racing,Spyker MF1,Dutch
stebro,http://en.wikipedia.org/wiki/Stebro,Stebro,Canadian
stevens,http://en.wikipedia.org/wiki/Stevens_(constructor),Stevens,American
stewart,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,Stewart,British
super_aguri,http://en.wikipedia.org/wiki/Super_Aguri_F1,Super Aguri,Japanese
surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British
sutton,http://en.wikipedia.org/wiki/Sutton_(constructor),Sutton,American
lago,http://en.wikipedia.org/wiki/Talbot-Lago,Talbot-Lago,French
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
tec-mec,http://en.wikipedia.org/wiki/Tec-Mec,Tec-Mec,Italian
tecno,http://en.wikipedia.org/wiki/Tecno,Tecno,Italian
theodore,http://en.wikipedia.org/wiki/Theodore_Racing,Theodore,Hong Kong
token,http://en.wikipedia.org/wiki/Token_(Racing_team),Token,British
toleman,http://en.wikipedia.org/wiki/Toleman,Toleman,British
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
toyota,http://en.wikipedia.org/wiki/Toyota_Racing,Toyota,Japanese
trevis,http://en.wikipedia.org/wiki/Trevis,Trevis,American
trojan,http://en.wikipedia.org/wiki/Trojan_(Racing_team),Trojan,British
turner,http://en.wikipedia.org/wiki/Turner_(constructor),Turner,American
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
vanwall,http://en.wikipedia.org/wiki/Vanwall,Vanwall,British
veritas,http://en.wikipedia.org/wiki/Veritas_(constructor),Veritas,German
virgin,http://en.wikipedia.org/wiki/Virgin_Racing,Virgin,British
watson,http://en.wikipedia.org/wiki/A.J._Watson,Watson,American
wetteroth,http://en.wikipedia.org/wiki/Wetteroth,Wetteroth,American
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
wolf,http://en.wikipedia.org/wiki/Walter_Wolf_Racing,Wolf,Canadian
zakspeed,http://en.wikipedia.org/wiki/Zakspeed,Zakspeed,German
