driverId,url,givenName,familyName,dateOfBirth,nationality,year,code,permanentNumber
dick_rathmann,http://en.wikipedia.org/wiki/Dick_Rathmann,Dick,Rathmann,1924-01-06,American,1950,,
rol,http://en.wikipedia.org/wiki/Franco_Rol,Franco,Rol,1908-06-05,Italian,1950,,
rolt,http://en.wikipedia.org/wiki/Tony_Rolt,Tony,Rolt,1918-10-16,British,1950,,
rose,http://en.wikipedia.org/wiki/Mauri_Rose,Mauri,Rose,1906-05-26,American,1950,,
rosier,http://en.wikipedia.org/wiki/Louis_Rosier,Louis,Rosier,1905-11-05,French,1950,,
paul_russo,http://en.wikipedia.org/wiki/Paul_Russo,Paul,Russo,1914-04-10,American,1950,,
ruttman,http://en.wikipedia.org/wiki/Troy_Ruttman,Troy,Ruttman,1930-03-11,American,1950,,
sanesi,http://en.wikipedia.org/wiki/Consalvo_Sanesi,Consalvo,Sanesi,1911-03-28,Italian,1950,,
schell,http://en.wikipedia.org/wiki/Harry_Schell,Harry,Schell,1921-06-29,American,1950,,
schindler,http://en.wikipedia.org/wiki/Bill_Schindler,Bill,Schindler,1909-03-06,American,1950,,
serafini,http://en.wikipedia.org/wiki/Dorino_Serafini,Dorino,Serafini,1909-07-22,Italian,1950,,
shawe_taylor,http://en.wikipedia.org/wiki/Brian_Shawe_Taylor,Brian,Shawe Taylor,1915-01-28,British,1950,,
sommer,http://en.wikipedia.org/wiki/Raymond_Sommer,Raymond,Sommer,1906-08-31,French,1950,,
taruffi,http://en.wikipedia.org/wiki/Piero_Taruffi,Piero,Taruffi,1906-10-12,Italian,1950,,
trintignant,http://en.wikipedia.org/wiki/Maurice_Trintignant,Maurice,Trintignant,1917-10-30,French,1950,,
villoresi,http://en.wikipedia.org/wiki/Luigi_Villoresi,Luigi,Villoresi,1909-05-16,Italian,1950,,
peter_walker,http://en.wikipedia.org/wiki/Peter_Walker_(driver),Peter,Walker,1912-10-07,British,1950,,
wallard,http://en.wikipedia.org/wiki/Lee_Wallard,Lee,Wallard,1910-09-07,American,1950,,
webb,http://en.wikipedia.org/wiki/Travis_Webb,Travis,Webb,1910-10-08,American,1950,,
whitehead,http://en.wikipedia.org/wiki/Peter_Whitehead_(racing_driver),Peter,Whitehead,1914-11-12,British,1950,,
abecassis,http://en.wikipedia.org/wiki/George_Abecassis,George,Abecassis,1913-03-21,British,1951,,
agabashian,http://en.wikipedia.org/wiki/Fred_Agabashian,Fred,Agabashian,1913-08-21,American,1951,,
ascari,http://en.wikipedia.org/wiki/Alberto_Ascari,Alberto,Ascari,1918-07-13,Italian,1951,,
ayulo,http://en.wikipedia.org/wiki/Manny_Ayulo,Manny,Ayulo,1921-10-20,American,1951,,
ball,http://en.wikipedia.org/wiki/Bobby_Ball_(auto_racer),Bobby,Ball,1925-08-26,American,1951,,
banks,http://en.wikipedia.org/wiki/Henry_Banks,Henry,Banks,1913-06-14,American,1951,,
bettenhausen,http://en.wikipedia.org/wiki/Tony_Bettenhausen,Tony,Bettenhausen,1916-09-12,American,1951,,
bira,http://en.wikipedia.org/wiki/Prince_Bira,Prince,Bira,1914-07-15,Thai,1951,,
bonetto,http://en.wikipedia.org/wiki/Felice_Bonetto,Felice,Bonetto,1903-06-09,Italian,1951,,
branca,http://en.wikipedia.org/wiki/Toni_Branca,Toni,Branca,1916-09-15,Swiss,1951,,
walt_brown,http://en.wikipedia.org/wiki/Walt_Brown_(auto_racer),Walt,Brown,1911-12-30,American,1951,,
cabantous,http://en.wikipedia.org/wiki/Yves_Giraud_Cabantous,Yves,Cabantous,1904-10-08,French,1951,,
darter,http://en.wikipedia.org/wiki/Duane_Carter,Duane,Carter,1913-05-05,American,1951,,
chaboud,http://en.wikipedia.org/wiki/Eug%C3%A8ne_Chaboud,Eugène,Chaboud,1907-04-12,French,1951,,
chiron,http://en.wikipedia.org/wiki/Louis_Chiron,Louis,Chiron,1899-08-03,Monegasque,1951,,
claes,http://en.wikipedia.org/wiki/Johnny_Claes,Johnny,Claes,1916-08-11,Belgian,1951,,
george_connor,http://en.wikipedia.org/wiki/George_Connor_(driver),George,Connor,1906-08-16,American,1951,,
davies,http://en.wikipedia.org/wiki/Jimmy_Davies,Jimmy,Davies,1929-08-08,American,1951,,
graffenried,http://en.wikipedia.org/wiki/Toulo_de_Graffenried,Toulo,de Graffenried,1914-05-18,Swiss,1951,,
dinsmore,http://en.wikipedia.org/wiki/Duke_Dinsmore,Duke,Dinsmore,1913-04-10,American,1951,,
etancelin,http://en.wikipedia.org/wiki/Philippe_%C3%89tancelin,Philippe,Étancelin,1896-12-28,French,1951,,
fagioli,http://en.wikipedia.org/wiki/Luigi_Fagioli,Luigi,Fagioli,1898-06-09,Italian,1951,,
fangio,http://en.wikipedia.org/wiki/Juan_Manuel_Fangio,Juan,Fangio,1911-06-24,Argentine,1951,,
farina,http://en.wikipedia.org/wiki/Nino_Farina,Nino,Farina,1906-10-30,Italian,1951,,
faulkner,http://en.wikipedia.org/wiki/Walt_Faulkner,Walt,Faulkner,1920-02-16,American,1951,,
fischer,http://en.wikipedia.org/wiki/Rudi_Fischer,Rudi,Fischer,1912-04-19,Swiss,1951,,
forberg,http://en.wikipedia.org/wiki/Carl_Forberg,Carl,Forberg,1911-03-04,American,1951,,
force,http://en.wikipedia.org/wiki/Gene_Force,Gene,Force,1916-06-15,American,1951,,
parker,http://en.wikipedia.org/wiki/Philip_Fotheringham-Parker,Philip,Fotheringham-Parker,1907-09-22,British,1951,,
gerard,http://en.wikipedia.org/wiki/Bob_Gerard,Bob,Gerard,1914-01-19,British,1951,,
godia,http://en.wikipedia.org/wiki/Paco_Godia,Paco,Godia,1921-03-21,Spanish,1951,,
gonzalez,http://en.wikipedia.org/wiki/Jos%C3%A9_Froil%C3%A1n_Gonz%C3%A1lez,José Froilán,González,1922-10-05,Argentine,1951,,
gordini,http://en.wikipedia.org/wiki/Aldo_Gordini,Aldo,Gordini,1921-05-20,French,1951,,
green,http://en.wikipedia.org/wiki/Cecil_Green,Cecil,Green,1919-09-30,American,1951,,
griffith,http://en.wikipedia.org/wiki/Cliff_Griffith,Cliff,Griffith,1916-02-06,American,1951,,
grignard,http://en.wikipedia.org/wiki/Georges_Grignard,Georges,Grignard,1905-07-25,French,1951,,
duncan_hamilton,http://en.wikipedia.org/wiki/Duncan_Hamilton_(racing_driver),Duncan,Hamilton,1920-04-30,British,1951,,
hanks,http://en.wikipedia.org/wiki/Sam_Hanks,Sam,Hanks,1914-07-13,American,1951,,
hellings,http://en.wikipedia.org/wiki/Mack_Hellings,Mack,Hellings,1915-09-14,American,1951,,
hirt,http://en.wikipedia.org/wiki/Peter_Hirt,Peter,Hirt,1910-03-30,Swiss,1951,,
james,http://en.wikipedia.org/wiki/Joe_James_(racing_driver),Joe,James,1925-05-23,American,1951,,
john_james,http://en.wikipedia.org/wiki/John_James_(auto_racer),John,James,1914-05-10,British,1951,,
jover,http://en.wikipedia.org/wiki/Juan_Jover,Juan,Jover,1903-11-23,Spanish,1951,,
kelly,http://en.wikipedia.org/wiki/Joe_Kelly_(Formula_One),Joe,Kelly,1913-03-13,Irish,1951,,
landi,http://en.wikipedia.org/wiki/Chico_Landi,Chico,Landi,1907-07-14,Brazilian,1951,,
levegh,http://en.wikipedia.org/wiki/Pierre_Levegh,Pierre,Levegh,1905-12-22,French,1951,,
linden,http://en.wikipedia.org/wiki/Andy_Linden_(racing_driver),Andy,Linden,1922-04-05,American,1951,,
louveau,http://en.wikipedia.org/wiki/Henri_Louveau,Henri,Louveau,1910-01-25,French,1951,,
mackey,http://en.wikipedia.org/wiki/Bill_Mackey,Bill,Mackey,1927-12-15,American,1951,,
guy_mairesse,http://en.wikipedia.org/wiki/Guy_Mairesse,Guy,Mairesse,1910-08-10,French,1951,,
manzon,http://en.wikipedia.org/wiki/Robert_Manzon,Robert,Manzon,1917-04-12,French,1951,,
marimon,http://en.wikipedia.org/wiki/Onofre_Marim%C3%B3n,Onofre,Marimón,1923-12-19,Argentine,1951,,
mcdowell,http://en.wikipedia.org/wiki/Johnny_McDowell,Johnny,McDowell,1915-01-29,American,1951,,
mcgrath,http://en.wikipedia.org/wiki/Jack_McGrath_(racing_driver),Jack,McGrath,1919-10-08,American,1951,,
miller,http://en.wikipedia.org/wiki/Chet_Miller,Chet,Miller,1902-07-19,American,1951,,
moss,http://en.wikipedia.org/wiki/Stirling_Moss,Stirling,Moss,1929-09-17,British,1951,,
murray,http://en.wikipedia.org/wiki/David_Murray_(driver),David,Murray,1909-12-28,British,1951,,
nalon,http://en.wikipedia.org/wiki/Duke_Nalon,Duke,Nalon,1913-03-02,American,1951,,
nazaruk,http://en.wikipedia.org/wiki/Mike_Nazaruk,Mike,Nazaruk,1921-10-02,American,1951,,
reg_parnell,http://en.wikipedia.org/wiki/Reg_Parnell,Reg,Parnell,1911-07-02,British,1951,,
parsons,http://en.wikipedia.org/wiki/Johnnie_Parsons,Johnnie,Parsons,1918-07-04,American,1951,,
pietsch,http://en.wikipedia.org/wiki/Paul_Pietsch,Paul,Pietsch,1911-06-20,German,1951,,
andre_pilette,http://en.wikipedia.org/wiki/Andr%C3%A9_Pilette,André,Pilette,1918-10-06,Belgian,1951,,
richardson,http://en.wikipedia.org/wiki/Ken_Richardson_(race_car_driver),Ken,Richardson,1911-08-21,British,1951,,
rol,http://en.wikipedia.org/wiki/Franco_Rol,Franco,Rol,1908-06-05,Italian,1951,,
rose,http://en.wikipedia.org/wiki/Mauri_Rose,Mauri,Rose,1906-05-26,American,1951,,
rosier,http://en.wikipedia.org/wiki/Louis_Rosier,Louis,Rosier,1905-11-05,French,1951,,
ruttman,http://en.wikipedia.org/wiki/Troy_Ruttman,Troy,Ruttman,1930-03-11,American,1951,,
sanesi,http://en.wikipedia.org/wiki/Consalvo_Sanesi,Consalvo,Sanesi,1911-03-28,Italian,1951,,
scarborough,http://en.wikipedia.org/wiki/Carl_Scarborough,Carl,Scarborough,1914-07-03,American,1951,,
schell,http://en.wikipedia.org/wiki/Harry_Schell,Harry,Schell,1921-06-29,American,1951,,
schindler,http://en.wikipedia.org/wiki/Bill_Schindler,Bill,Schindler,1909-03-06,American,1951,,
shawe_taylor,http://en.wikipedia.org/wiki/Brian_Shawe_Taylor,Brian,Shawe Taylor,1915-01-28,British,1951,,
simon,http://en.wikipedia.org/wiki/Andr%C3%A9_Simon_(racing_driver),André,Simon,1920-01-05,French,1951,,
stevenson,http://en.wikipedia.org/wiki/Chuck_Stevenson,Chuck,Stevenson,1919-10-15,American,1951,,
swaters,http://en.wikipedia.org/wiki/Jacques_Swaters,Jacques,Swaters,1926-10-30,American,1951,,
taruffi,http://en.wikipedia.org/wiki/Piero_Taruffi,Piero,Taruffi,1906-10-12,Italian,1951,,
trintignant,http://en.wikipedia.org/wiki/Maurice_Trintignant,Maurice,Trintignant,1917-10-30,French,1951,,
villoresi,http://en.wikipedia.org/wiki/Luigi_Villoresi,Luigi,Villoresi,1909-05-16,Italian,1951,,
vukovich,http://en.wikipedia.org/wiki/Bill_Vukovich,Bill,Vukovich,1918-12-13,American,1951,,
peter_walker,http://en.wikipedia.org/wiki/Peter_Walker_(driver),Peter,Walker,1912-10-07,British,1951,,
wallard,http://en.wikipedia.org/wiki/Lee_Wallard,Lee,Wallard,1910-09-07,American,1951,,
ward,http://en.wikipedia.org/wiki/Rodger_Ward,Rodger,Ward,1921-01-10,American,1951,,
whitehead,http://en.wikipedia.org/wiki/Peter_Whitehead_(racing_driver),Peter,Whitehead,1914-11-12,British,1951,,
abecassis,http://en.wikipedia.org/wiki/George_Abecassis,George,Abecassis,1913-03-21,British,1952,,
agabashian,http://en.wikipedia.org/wiki/Fred_Agabashian,Fred,Agabashian,1913-08-21,American,1952,,
ascari,http://en.wikipedia.org/wiki/Alberto_Ascari,Alberto,Ascari,1918-07-13,Italian,1952,,
aston,http://en.wikipedia.org/wiki/Bill_Aston,Bill,Aston,1900-03-29,British,1952,,
ayulo,http://en.wikipedia.org/wiki/Manny_Ayulo,Manny,Ayulo,1921-10-20,American,1952,,
ball,http://en.wikipedia.org/wiki/Bobby_Ball_(auto_racer),Bobby,Ball,1925-08-26,American,1952,,
balsa,http://en.wikipedia.org/wiki/Marcel_Balsa,Marcel,Balsa,1909-01-01,French,1952,,
banks,http://en.wikipedia.org/wiki/Henry_Banks,Henry,Banks,1913-06-14,American,1952,,
bayol,http://en.wikipedia.org/wiki/%C3%89lie_Bayol,Élie,Bayol,1914-02-28,French,1952,,
bechem,http://en.wikipedia.org/wiki/G%C3%BCnther_Bechem,Günther,Bechem,1921-12-21,German,1952,,
behra,http://en.wikipedia.org/wiki/Jean_Behra,Jean,Behra,1921-02-16,French,1952,,
bettenhausen,http://en.wikipedia.org/wiki/Tony_Bettenhausen,Tony,Bettenhausen,1916-09-12,American,1952,,
bianco,http://en.wikipedia.org/wiki/Gino_Bianco,Gino,Bianco,1916-07-22,Brazilian,1952,,
bira,http://en.wikipedia.org/wiki/Prince_Bira,Prince,Bira,1914-07-15,Thai,1952,,
bonetto,http://en.wikipedia.org/wiki/Felice_Bonetto,Felice,Bonetto,1903-06-09,Italian,1952,,
brandon,http://en.wikipedia.org/wiki/Eric_Brandon,Eric,Brandon,1920-07-18,British,1952,,
alan_brown,http://en.wikipedia.org/wiki/Alan_Brown_(racing_driver),Alan,Brown,1919-11-20,British,1952,,
brudes,http://en.wikipedia.org/wiki/Adolf_Brudes,Adolf,Brudes,1899-10-15,German,1952,,
bryan,http://en.wikipedia.org/wiki/Jimmy_Bryan,Jimmy,Bryan,1926-01-28,American,1952,,
cabantous,http://en.wikipedia.org/wiki/Yves_Giraud_Cabantous,Yves,Cabantous,1904-10-08,French,1952,,
cantoni,http://en.wikipedia.org/wiki/Eitel_Cantoni,Eitel,Cantoni,1906-10-04,Uruguayan,1952,,
carini,http://en.wikipedia.org/wiki/Piero_Carini,Piero,Carini,1921-03-06,Italian,1952,,
darter,http://en.wikipedia.org/wiki/Duane_Carter,Duane,Carter,1913-05-05,American,1952,,
claes,http://en.wikipedia.org/wiki/Johnny_Claes,Johnny,Claes,1916-08-11,Belgian,1952,,
collins,http://en.wikipedia.org/wiki/Peter_Collins_(racing_driver),Peter,Collins,1931-11-06,British,1952,,
comotti,http://en.wikipedia.org/wiki/Franco_Comotti,Franco,Comotti,1906-07-24,Italian,1952,,
george_connor,http://en.wikipedia.org/wiki/George_Connor_(driver),George,Connor,1906-08-16,American,1952,,
crespo,http://en.wikipedia.org/wiki/Alberto_Crespo,Alberto,Crespo,1920-01-16,Argentine,1952,,
crook,http://en.wikipedia.org/wiki/Tony_Crook,Tony,Crook,1920-02-16,British,1952,,
cross,http://en.wikipedia.org/wiki/Art_Cross,Art,Cross,1918-01-24,American,1952,,
graffenried,http://en.wikipedia.org/wiki/Toulo_de_Graffenried,Toulo,de Graffenried,1914-05-18,Swiss,1952,,
terra,http://en.wikipedia.org/wiki/Max_de_Terra,Max,de Terra,1918-10-06,Swiss,1952,,
tornaco,http://en.wikipedia.org/wiki/Charles_de_Tornaco,Charles,de Tornaco,1927-06-07,Belgian,1952,,
downing,http://en.wikipedia.org/wiki/Ken_Downing,Ken,Downing,1917-12-05,British,1952,,
dusio,http://en.wikipedia.org/wiki/Piero_Dusio,Piero,Dusio,1899-10-13,Italian,1952,,
etancelin,http://en.wikipedia.org/wiki/Philippe_%C3%89tancelin,Philippe,Étancelin,1896-12-28,French,1952,,
farina,http://en.wikipedia.org/wiki/Nino_Farina,Nino,Farina,1906-10-30,Italian,1952,,
fischer,http://en.wikipedia.org/wiki/Rudi_Fischer,Rudi,Fischer,1912-04-19,Swiss,1952,,
flinterman,http://en.wikipedia.org/wiki/Jan_Flinterman,Jan,Flinterman,1919-10-02,Dutch,1952,,
fonder,http://en.wikipedia.org/wiki/George_Fonder,George,Fonder,1917-06-22,American,1952,,
frere,http://en.wikipedia.org/wiki/Paul_Fr%C3%A8re,Paul,Frère,1917-01-30,Belgian,1952,,
gaze,http://en.wikipedia.org/wiki/Tony_Gaze,Tony,Gaze,1920-02-03,Australian,1952,,
gonzalez,http://en.wikipedia.org/wiki/Jos%C3%A9_Froil%C3%A1n_Gonz%C3%A1lez,José Froilán,González,1922-10-05,Argentine,1952,,
griffith,http://en.wikipedia.org/wiki/Cliff_Griffith,Cliff,Griffith,1916-02-06,American,1952,,
duncan_hamilton,http://en.wikipedia.org/wiki/Duncan_Hamilton_(racing_driver),Duncan,Hamilton,1920-04-30,British,1952,,
hanks,http://en.wikipedia.org/wiki/Sam_Hanks,Sam,Hanks,1914-07-13,American,1952,,
hartley,http://en.wikipedia.org/wiki/Gene_Hartley,Gene,Hartley,1926-01-28,American,1952,,
hawthorn,http://en.wikipedia.org/wiki/Mike_Hawthorn,Mike,Hawthorn,1929-04-10,British,1952,,
heeks,http://en.wikipedia.org/wiki/Willi_Heeks,Willi,Heeks,1922-02-13,German,1952,,
helfrich,http://en.wikipedia.org/wiki/Theo_Helfrich,Theo,Helfrich,1913-05-13,German,1952,,
hirt,http://en.wikipedia.org/wiki/Peter_Hirt,Peter,Hirt,1910-03-30,Swiss,1952,,
james,http://en.wikipedia.org/wiki/Joe_James_(racing_driver),Joe,James,1925-05-23,American,1952,,
johnson,http://en.wikipedia.org/wiki/Eddie_Johnson_(auto_racer),Eddie,Johnson,1919-02-10,American,1952,,
klenk,http://en.wikipedia.org/wiki/Hans_Klenk,Hans,Klenk,1919-10-28,German,1952,,
klodwig,http://en.wikipedia.org/wiki/Ernst_Klodwig,Ernst,Klodwig,1903-05-23,East German,1952,,
krause,http://en.wikipedia.org/wiki/Rudolf_Krause,Rudolf,Krause,1907-03-30,East German,1952,,
landi,http://en.wikipedia.org/wiki/Chico_Landi,Chico,Landi,1907-07-14,Brazilian,1952,,
laurent,http://en.wikipedia.org/wiki/Roger_Laurent,Roger,Laurent,1913-02-21,Belgian,1952,,
legat,http://en.wikipedia.org/wiki/Arthur_Legat,Arthur,Legat,1898-11-01,Belgian,1952,,
linden,http://en.wikipedia.org/wiki/Andy_Linden_(racing_driver),Andy,Linden,1922-04-05,American,1952,,
macklin,http://en.wikipedia.org/wiki/Lance_Macklin,Lance,Macklin,1919-09-02,British,1952,,
manzon,http://en.wikipedia.org/wiki/Robert_Manzon,Robert,Manzon,1917-04-12,French,1952,,
mcalpine,http://en.wikipedia.org/wiki/Kenneth_McAlpine,Kenneth,McAlpine,1920-09-21,British,1952,,
mcdowell,http://en.wikipedia.org/wiki/Johnny_McDowell,Johnny,McDowell,1915-01-29,American,1952,,
mcgrath,http://en.wikipedia.org/wiki/Jack_McGrath_(racing_driver),Jack,McGrath,1919-10-08,American,1952,,
miller,http://en.wikipedia.org/wiki/Chet_Miller,Chet,Miller,1902-07-19,American,1952,,
charrington,http://en.wikipedia.org/wiki/Robin_Montgomerie-Charrington,Robin,Montgomerie-Charrington,1915-06-23,British,1952,,
moss,http://en.wikipedia.org/wiki/Stirling_Moss,Stirling,Moss,1929-09-17,British,1952,,
murray,http://en.wikipedia.org/wiki/David_Murray_(driver),David,Murray,1909-12-28,British,1952,,
nalon,http://en.wikipedia.org/wiki/Duke_Nalon,Duke,Nalon,1913-03-02,American,1952,,
niedermayr,http://en.wikipedia.org/wiki/Helmut_Niedermayr,Helmut,Niedermayr,1915-11-29,German,1952,,
obrien,http://en.wikipedia.org/wiki/Robert_O%27Brien_(auto_racer),Robert,O'Brien,1908-04-11,American,1952,,
reg_parnell,http://en.wikipedia.org/wiki/Reg_Parnell,Reg,Parnell,1911-07-02,British,1952,,
parsons,http://en.wikipedia.org/wiki/Johnnie_Parsons,Johnnie,Parsons,1918-07-04,American,1952,,
peters,http://en.wikipedia.org/wiki/Josef_Peters_(driver),Josef,Peters,1914-09-16,German,1952,,
pietsch,http://en.wikipedia.org/wiki/Paul_Pietsch,Paul,Pietsch,1911-06-20,German,1952,,
poore,http://en.wikipedia.org/wiki/Dennis_Poore,Dennis,Poore,1916-08-19,British,1952,,
rathmann,http://en.wikipedia.org/wiki/Jim_Rathmann,Jim,Rathmann,1928-07-16,American,1952,,
reece,http://en.wikipedia.org/wiki/Jimmy_Reece,Jimmy,Reece,1929-11-17,American,1952,,
riess,http://en.wikipedia.org/wiki/Fritz_Riess,Fritz,Riess,1922-07-11,German,1952,,
rigsby,http://en.wikipedia.org/wiki/Jim_Rigsby,Jim,Rigsby,1923-06-06,American,1952,,
rol,http://en.wikipedia.org/wiki/Franco_Rol,Franco,Rol,1908-06-05,Italian,1952,,
rosier,http://en.wikipedia.org/wiki/Louis_Rosier,Louis,Rosier,1905-11-05,French,1952,,
ruttman,http://en.wikipedia.org/wiki/Troy_Ruttman,Troy,Ruttman,1930-03-11,American,1952,,
salvadori,http://en.wikipedia.org/wiki/Roy_Salvadori,Roy,Salvadori,1922-05-12,British,1952,,
schell,http://en.wikipedia.org/wiki/Harry_Schell,Harry,Schell,1921-06-29,American,1952,,
